detectorName,descriptorName,img,ttc_lidar,ttc_camera,t_total
FAST,BRIEF,1,13.9087,11.1829,2.95227
FAST,BRIEF,2,11.9121,11.5546,0.775498
FAST,BRIEF,3,19.555,12.9688,0.73603
FAST,BRIEF,4,11.5746,13.1232,0.680024
FAST,BRIEF,5,13.5052,20.0387,0.688038
FAST,BRIEF,6,10.5917,13.2848,0.680017
FAST,BRIEF,7,15.7875,11.4727,0.736037
FAST,BRIEF,8,20.381,11.0924,0.752039
FAST,BRIEF,9,12.2623,11.0036,0.760043
FAST,BRIEF,10,14.8599,13.6544,0.752048
FAST,BRIEF,11,10.0781,13.2623,0.920056
FAST,BRIEF,12,10.5624,11.5215,0.880062
FAST,BRIEF,13,9.12532,12.0888,0.776017
FAST,BRIEF,14,10.8227,11.7186,0.736026
FAST,BRIEF,15,8.11036,11.7359,0.704016
FAST,BRIEF,16,9.06362,12.2566,0.664034
FAST,BRIEF,17,9.3311,7.95281,0.64001
FAST,BRIEF,18,11.2196,11.5441,0.656031
